G1,G2,G3
-0.20190326765223357,-0.38203863039126296,-0.29837574449146065
-0.14552164881837945,-0.43932602770460144,-0.29405779321526854
-0.08675358958633854,-0.6131338367661932,-0.36427454874686344
-0.056536022745504524,-0.6376292658933638,-0.3519329625136981
-0.07593700208455129,-0.5575562059998211,-0.35135041659363103
-0.1716396871745193,-0.431329128640724,-0.3011853694378082
-0.1749887100450164,-0.4011367235693623,-0.294653434570027
-0.19970144214865318,-0.4136128738306556,-0.3014427755911464
-0.10637144790150178,-0.5182687449035673,-0.34982641976654
-0.16692871924673236,-0.45293991652829746,-0.29836035212049516
-0.18854299262540458,-0.3759482812826439,-0.27351945930991467
-0.18435062542093056,-0.35959229852951324,-0.2970039187986708
-0.14378495626578522,-0.46412428559645363,-0.31267427105285495
-0.20653221666532912,-0.3769052696908214,-0.28147944710012324
-0.17709414095877432,-0.461758826429651,-0.32098047513759753
-0.10313104817895283,-0.526117975462567,-0.32887735723012923
-0.11018898562297551,-0.48631982669156987,-0.29888388032370394
-0.17668248860193542,-0.37357017089939143,-0.288098727967974
-0.20415793076906663,-0.4027609162215491,-0.26685704128361565
-0.17873098415450106,-0.41854305872172837,-0.2864807056179859
-0.1606171405106709,-0.4112145119829051,-0.2878321323595341
-0.08030232334753452,-0.4847496986949072,-0.33303783491083655
-0.1789884799328622,-0.3728178076972131,-0.2730893940647089
-0.1737706931476186,-0.41316387667291354,-0.2920306107184359
-0.09106764669559206,-0.588655904203615,-0.34346140168700096
-0.15839227032794428,-0.4329248132162222,-0.31781630773017305
-0.2281735798396817,-0.33311077257537397,-0.2659614792519832
-0.1969778717732968,-0.3692295090943517,-0.27502732589526113
-0.14743305429782305,-0.3677654351799188,-0.2817014643964506
-0.03717833463966035,-0.5508387392655698,-0.3549867724214561
-0.15303420728513534,-0.4040437064861654,-0.2791735855334123
-0.20414356971706313,-0.3374531705605919,-0.2829320825150092
-0.1834540812128262,-0.4039001556944625,-0.28873903451315747
-0.2124697014070307,-0.3908533794279911,-0.2718055231847739
-0.1520640406507824,-0.5258352980533103,-0.33179320183850786
-0.07070854486439483,-0.5296882681680901,-0.35297960810750306
-0.16301139194028244,-0.4204900256973413,-0.2904831647267262
-0.16628509532262395,-0.4154049651231696,-0.312864220123208
-0.19115509980663142,-0.4021213499465892,-0.2866094559487021
-0.15973315690448409,-0.43149498790676033,-0.3187094821807058
-0.20416608810564726,-0.42768192230367535,-0.28950602776017226
-0.21668980375445063,-0.35966880477091184,-0.28066374983975195
-0.10850478719619387,-0.45775869570529437,-0.29910485199216247
-0.15925472226564727,-0.3890733299317863,-0.2613176083307028
-0.148686105654589,-0.45006520599068595,-0.33934816608860874
-0.16451636327889255,-0.4664286012317839,-0.29081398083874904
-0.16514852083401158,-0.38455079654159513,-0.2772654854115767
-0.13699705769438808,-0.46827192155013336,-0.31204923612203483
-0.1846803081374954,-0.3701662497155244,-0.286907264071348
-0.18296443761133493,-0.3898613895003401,-0.27087453552984386
-0.14475321362178845,-0.38419140969352555,-0.26209489383928575
-0.15923748211303337,-0.3978941733658376,-0.2749101164058547
